,notification_date,TY,SType
0,2020-01-25,3,All
1,2020-01-27,1,All
2,2020-03-01,2,All
3,2020-03-02,3,All
4,2020-03-03,6,All
5,2020-03-04,6,All
6,2020-03-05,4,All
7,2020-03-06,7,All
8,2020-03-07,1,All
9,2020-03-08,7,All
10,2020-03-09,13,All
11,2020-03-10,6,All
12,2020-03-11,16,All
13,2020-03-12,14,All
14,2020-03-13,19,All
15,2020-03-14,20,All
16,2020-03-15,36,All
17,2020-03-16,29,All
18,2020-03-17,64,All
19,2020-03-18,45,All
20,2020-03-19,56,All
21,2020-03-20,86,All
22,2020-03-21,122,All
23,2020-03-22,121,All
24,2020-03-23,176,All
25,2020-03-24,189,All
26,2020-03-25,203,All
27,2020-03-26,181,All
28,2020-03-27,211,All
29,2020-03-28,141,All
30,2020-03-29,119,All
31,2020-03-30,85,All
32,2020-03-31,118,All
33,2020-04-01,113,All
34,2020-04-02,89,All
35,2020-04-03,101,All
36,2020-04-04,69,All
37,2020-04-05,52,All
38,2020-04-06,32,All
39,2020-04-07,38,All
40,2020-04-08,43,All
41,2020-04-09,36,All
42,2020-04-10,24,All
43,2020-04-11,15,All
44,2020-04-12,7,All
45,2020-04-13,5,All
46,2020-04-14,21,All
47,2020-04-15,20,All
48,2020-04-16,22,All
49,2020-04-17,14,All
50,2020-04-18,17,All
51,2020-04-19,7,All
52,2020-04-20,2,All
53,2020-04-21,6,All
54,2020-04-22,3,All
55,2020-04-23,8,All
56,2020-04-24,14,All
57,2020-04-25,3,All
58,2020-04-26,1,All
59,2020-04-27,5,All
60,2020-04-28,10,All
61,2020-04-29,3,All
62,2020-04-30,14,All
63,2020-05-01,2,All
64,2020-05-02,2,All
65,2020-05-03,1,All
66,2020-05-04,4,All
67,2020-05-05,4,All
68,2020-05-06,3,All
69,2020-05-07,2,All
70,2020-05-08,4,All
71,2020-05-09,1,All
72,2020-05-12,5,All
73,2020-05-13,3,All
74,2020-05-14,3,All
75,2020-05-18,1,All
76,2020-05-19,3,All
77,2020-05-20,1,All
78,2020-05-21,3,All
79,2020-05-23,1,All
80,2020-05-24,1,All
81,2020-05-25,1,All
82,2020-05-28,1,All
83,2020-05-30,2,All
84,2020-05-31,4,All
85,2020-06-01,4,All
86,2020-06-02,1,All
87,2020-06-03,2,All
88,2020-06-04,3,All
89,2020-06-06,1,All
90,2020-06-07,2,All
91,2020-06-08,1,All
92,2020-06-09,3,All
93,2020-06-11,3,All
94,2020-06-12,3,All
95,2020-06-13,8,All
96,2020-06-14,6,All
97,2020-06-17,2,All
98,2020-06-18,1,All
99,2020-06-19,1,All
100,2020-06-20,6,All
101,2020-06-21,1,All
102,2020-06-22,1,All
103,2020-06-23,7,All
104,2020-06-24,4,All
105,2020-06-25,4,All
106,2020-06-26,5,All
107,2020-06-27,6,All
108,2020-06-28,3,All
109,2020-06-29,2,All
110,2020-06-30,8,All
111,2020-07-01,2,All
112,2020-07-02,1,All
113,2020-07-03,7,All
114,2020-07-04,9,All
115,2020-07-05,3,All
116,2020-07-06,7,All
117,2020-07-07,2,All
118,2020-07-08,6,All
119,2020-07-09,7,All
120,2020-07-10,4,All
121,2020-07-11,2,All
122,2020-07-12,12,All
123,2020-07-13,15,All
124,2020-07-14,9,All
125,2020-07-15,7,All
126,2020-07-16,9,All
127,2020-07-17,9,All
128,2020-07-18,14,All
129,2020-07-19,18,All
130,2020-07-20,13,All
131,2020-07-21,14,All
132,2020-07-22,16,All
133,2020-07-23,7,All
134,2020-07-24,16,All
135,2020-07-25,15,All
136,2020-07-26,7,All
137,2020-07-27,14,All
138,2020-07-28,22,All
139,2020-07-29,14,All
140,2020-07-30,21,All
141,2020-07-31,15,All
142,2020-08-01,14,All
143,2020-08-02,10,All
144,2020-08-03,13,All
145,2020-08-04,8,All
146,2020-08-05,13,All
147,2020-08-06,11,All
148,2020-08-07,7,All
149,2020-08-08,14,All
150,2020-08-09,12,All
151,2020-08-10,20,All
152,2020-08-11,15,All
153,2020-08-12,6,All
154,2020-08-13,12,All
155,2020-08-14,7,All
156,2020-08-15,6,All
157,2020-08-16,5,All
158,2020-08-17,2,All
159,2020-08-18,8,All
160,2020-08-19,1,All
161,2020-08-20,5,All
162,2020-08-21,7,All
163,2020-08-22,2,All
164,2020-08-23,2,All
165,2020-08-24,2,All
166,2020-08-25,6,All
167,2020-08-26,12,All
168,2020-08-27,15,All
169,2020-08-28,9,All
170,2020-08-29,7,All
171,2020-08-30,8,All
172,2020-08-31,12,All
173,2020-09-01,15,All
174,2020-09-02,9,All
175,2020-09-03,6,All
